Key,Description,en,it
ah94-quickFlight_surpriseAttack_b3,Text from a mission briefing.,"Beware that if they spot you before you are ready to attack, they may launch preemptively to defend themselves.",
ah94-quickFlight_surpriseAttack_b4,Text from a mission briefing.,"SUMMARY

Primary Targets:
- Landed aircraft

Threats:
- IR guided SAMs
- Small arms fire
- AAA",
ah94-quickFlight_Target Practice_b0,Text from a mission briefing.,"Practice using the AH-94's weapons on various targets.

Targets will not shoot back so take your time to learn the equipment.

Check the objectives data to find targets.",
campaign_av42c_tutorials_name,Name of a campaign.,AV-42C Tutorials,
campaign_av42c_tutorials_description,Description of a campaign.,Tutorials for the AV-42C,
av42c_tutorials:tut_av42c_agm_name,Name of a mission.,Air-to-Ground Missiles,
av42c_tutorials:tut_av42c_agm_description,Description of a mission.,Learn how to use air-to-ground missiles.,
AV-42C:av42c_tutorials:tut_av42c_agm:obj_0:name,A mission objective name,AGM Tutorial,
AV-42C:av42c_tutorials:tut_av42c_agm:obj_0:info,Mission objective info.,Complete the AGM tutorial.,
AV-42C:av42c_tutorials:tut_av42c_agm:obj_1:name,A mission objective name,Destroy Targets A,
AV-42C:av42c_tutorials:tut_av42c_agm:obj_1:info,Mission objective info.,Destroy some of the targets around the waypoint using the AGM-114.,
AV-42C:av42c_tutorials:tut_av42c_agm:obj_2:name,A mission objective name,Destroy Targets B,
AV-42C:av42c_tutorials:tut_av42c_agm:obj_2:info,Mission objective info.,,
av42c_tutorials:tut_basicFlight_name,Name of a mission.,Basic Flight,
av42c_tutorials:tut_basicFlight_description,Description of a mission.,"Taxi, take off, landing.",
av42c_tutorials:tut_gettingStarted_name,Name of a mission.,Getting Started,
av42c_tutorials:tut_gettingStarted_description,Description of a mission.,"Cockpit familiarization, start-up procedures.",
av42c_tutorials:tut_weapons1_name,Name of a mission.,Basic Weapons,
av42c_tutorials:tut_weapons1_description,Description of a mission.,"Learn how to use the cannon, rockets, and targeting system.",
av42c_tutorials:verticalFlight1_name,Name of a mission.,AP Vertical Flight,
av42c_tutorials:verticalFlight1_description,Description of a mission.,Learn how to use the hover autopilot feature.,
av42c_tutorials_tut_av42c_agm_b0,Text from a mission briefing.,"Today, you will learn how to use air-to-ground missiles (AGMs) to destroy armored ground targets.",
av42c_tutorials_tut_basicFlight_b0,Text from a mission briefing.,"Learn how to use the virtual flight controls to taxi, take off, and land the AV-42C ""Kestrel"".",
av42c_tutorials_tut_gettingStarted_b0,Text from a mission briefing.,"Today we will be learning how to operate the AV-42C.

The start-up procedure is not very complicated, so let's jump in and get started.",
av42c_tutorials_tut_weapons1_b0,Text from a mission briefing.,"The AV-42C is capable of equipping various weapons.  Today you will learn how to use the 30mm GAU-8 cannon, and the Hydra-70 unguided rockets.  You will also learn how to find and acquire targets using the TGP.",
av42c_tutorials_verticalFlight1_b0,Text from a mission briefing.,"Vertical flight can be tricky, but by using the hover autopilot, you can take off, hover, and land with ease.",
campaign_fa26b_tutorials_name,Name of a campaign.,FA-26B Tutorials,
campaign_fa26b_tutorials_description,Description of a campaign.,Built-in tutorials for the F/A-26B.,
fa26b_tutorials:tut_26_radar_name,Name of a mission.,Radar,
fa26b_tutorials:tut_26_radar_description,Description of a mission.,"Learn how to use the radar to find, track, and lock onto aircraft.",
F/A-26B:fa26b_tutorials:tut_26_radar:obj_0:name,A mission objective name,Tutorial,
F/A-26B:fa26b_tutorials:tut_26_radar:obj_0:info,Mission objective info.,Complete the radar tutorial,
F/A-26B:fa26b_tutorials:tut_26_radar:obj_1:name,A mission objective name,Air Target 1,
F/A-26B:fa26b_tutorials:tut_26_radar:obj_1:info,Mission objective info.,Shoot the target with an AIM-120,
F/A-26B:fa26b_tutorials:tut_26_radar:obj_2:name,A mission objective name,Air Targets 2,
F/A-26B:fa26b_tutorials:tut_26_radar:obj_2:info,Mission objective info.,Destroy the 5 other air targets.,
fa26b_tutorials:tut_26_sead_name,Name of a mission.,SEAD,
fa26b_tutorials:tut_26_sead_description,Description of a mission.,Learn how to use the ARAD and AGM-88 to destroy radar targets.,
F/A-26B:fa26b_tutorials:tut_26_sead:obj_0:name,A mission objective name,SEAD Tutorial,
F/A-26B:fa26b_tutorials:tut_26_sead:obj_0:info,Mission objective info.,Complete the SEAD tutorial,
F/A-26B:fa26b_tutorials:tut_26_sead:obj_1:name,A mission objective name,SEAD,
F/A-26B:fa26b_tutorials:tut_26_sead:obj_1:info,Mission objective info.,Destroy the SAM radars.,
fa26b_tutorials_tut_26_radar_b0,Text from a mission briefing.,The F/A-26B is equipped with powerful forward facing radar. Learn how to use it to detect and track other aircraft.  Lock onto enemy targets to allow you to fire radar guided missiles.,
fa26b_tutorials_tut_26_sead_b0,Text from a mission briefing.,"One of the most abundant and dangerous threats to aircraft are Surface-to-Air Missiles (SAMs), most of which rely on radar to find and track targets.

Suppression of Enemy Air Defense (SEAD) operations neutralize or destroy these threats.",
fa26b_tutorials_tut_26_sead_b1,Text from a mission briefing.,"One method of performing SEAD involves destroying the radar used by the SAMs.

You will learn how to use the Anti-Radar Attack Display (ARAD) in conjunction with the AGM-88 weapon to locate, target, and destroy enemy radars.",
campaign_ah94-tutorials_name,Name of a campaign.,AH-94 Tutorials,
campaign_ah94-tutorials_description,Description of a campaign.,Enter description...,
ah94-tutorials:ah94tut_intro_name,Name of a mission.,Introduction,
ah94-tutorials:ah94tut_intro_description,Description of a mission.,"Introduction to the vehicle, and a general overview of the cockpit.",
AH-94:ah94-tutorials:ah94tut_intro:obj_0:name,A mission objective name,Introduction,
AH-94:ah94-tutorials:ah94tut_intro:obj_0:info,Mission objective info.,Complete the tutorial.,
ah94-tutorials:ah94tut_startup_name,Name of a mission.,Start Up/Shut Down,
ah94-tutorials:ah94tut_startup_description,Description of a mission.,How to start up and shut down the AH-94.,
AH-94:ah94-tutorials:ah94tut_startup:obj_0:name,A mission objective name,Tutorial,
AH-94:ah94-tutorials:ah94tut_startup:obj_0:info,Mission objective info.,Complete the tutorial.,
ah94-tutorials:ah94tut_wpnTads_name,Name of a mission.,TADS and Gun,
ah94-tutorials:ah94tut_wpnTads_description,Description of a mission.,Control the TADS with the TEDAC and use it to slave the gun.,
ah94-tutorials_ah94tut_intro_b0,Text from a mission briefing.,Learn about the AH-94 and take a quick look at each of the components in the cockpit.,
ah94-tutorials_ah94tut_startup_b0,Text from a mission briefing.,"Learn the steps to properly start up the engines, spin up the rotor, and safely turn everything off.",
ah94-tutorials_ah94tut_wpnTads_b0,Text from a mission briefing.,"Learn about the TADS, controlling it with the TEDAC, and steering the gun turret.",
campaign_quickMPFlights_name,Name of a campaign.,Coop/Freeflight,
campaign_quickMPFlights_description,Description of a campaign.,A collection of cooperative or freeflight scenarios for multiplayer.,
quickMPFlights:45_pveStrike_name,Name of a mission.,F-45 Cooperative Mission,
quickMPFlights:45_pveStrike_description,Description of a mission.,Use cooperation and the advanced capabilities of the F-45A to complete various objectives.,
F/A-26B:quickMPFlights:45_pveStrike:obj_0:name,A mission objective name,Strike,
F/A-26B:quickMPFlights:45_pveStrike:obj_0:info,Mission objective info.,Destroy bunkers and supply tents at enemy airbase.,
F/A-26B:quickMPFlights:45_pveStrike:obj_1:name,A mission objective name,CAP,
F/A-26B:quickMPFlights:45_pveStrike:obj_1:info,Mission objective info.,Destroy all enemy aircraft.,
F/A-26B:quickMPFlights:45_pveStrike:obj_2:name,A mission objective name,Defend,
F/A-26B:quickMPFlights:45_pveStrike:obj_2:info,Mission objective info.,Destroy the enemy unit on the way to attack our base.,
F/A-26B:quickMPFlights:45_pveStrike:obj_4:name,A mission objective name,Destroy Nearby SAMs,
F/A-26B:quickMPFlights:45_pveStrike:obj_4:info,Mission objective info.,Destroy the MAD-4 set up near base to allow our AWACS to deploy.,
quickMPFlights:airshowFreeflight_name,Name of a mission.,Free Flight / Airshow,
quickMPFlights:airshowFreeflight_description,Description of a mission.,"All vehicles, no weapons.",
F/A-26B:quickMPFlights:airshowFreeflight:obj_0:name,A mission objective name,Free Flight,
F/A-26B:quickMPFlights:airshowFreeflight:obj_0:info,Mission objective info.,Have fun! Be nice!,
quickMPFlights:mp_navalMission_name,Name of a mission.,F/A-26B Naval Strike Mission,
quickMPFlights:mp_navalMission_description,Description of a mission.,Fly strike missions off the Aircraft Carrier with your buddies.,
F/A-26B:quickMPFlights:mp_navalMission:obj_1:name,A mission objective name,Hidden Bunkers,
F/A-26B:quickMPFlights:mp_navalMission:obj_1:info,Mission objective info.,Destroy the enemy's secret bunkers hidden in the caldera.,
F/A-26B:quickMPFlights:mp_navalMission:obj_2:name,A mission objective name,Mine Laying Vessels,
F/A-26B:quickMPFlights:mp_navalMission:obj_2:info,Mission objective info.,Destroy the mine laying ships parked in the bay.,
F/A-26B:quickMPFlights:mp_navalMission:obj_3:name,A mission objective name,Enemy Carrier Group,
F/A-26B:quickMPFlights:mp_navalMission:obj_3:info,Mission objective info.,Find and destroy all ships in the enemy carrier group.,
F/A-26B:quickMPFlights:mp_navalMission:obj_4:name,A mission objective name,Assassinate,
F/A-26B:quickMPFlights:mp_navalMission:obj_4:info,Mission objective info.,Find and kill the enemy leadership hiding in the town.,
F/A-26B:quickMPFlights:mp_navalMission:obj_5:name,A mission objective name,Protect Carrier,
F/A-26B:quickMPFlights:mp_navalMission:obj_5:info,Mission objective info.,Do not allow your carrier to be destroyed.,
quickMPFlights_45_pveStrike_b0,Text from a mission briefing.,"Your team of F-45 pilots have been tasked to carry out an attack against the enemy.

Use cooperation and the advanced capabilities of your aircraft to complete the mission.",
quickMPFlights_45_pveStrike_b1,Text from a mission briefing.,"The first objective is to destroy the enemy Mobile Air Defense units (MAD-4) which are stationed just outside of our airbase.

We can't deploy our AWACS until these air defenses are eliminated.",
quickMPFlights_45_pveStrike_b2,Text from a mission briefing.,"A convoy of tanks are on their way to our base.  They may be little more than a nuisance to you, but destroy them nonetheless.  If they reach the base they will likely start destroying our supplies and other assets.",
quickMPFlights_45_pveStrike_b3,Text from a mission briefing.,"At your discretion, complete the rest of the mission by finding and destroying the numerous hostile aircraft, and finally busting the bunkers and supply depots at the enemy base.",
quickMPFlights_airshowFreeflight_b0,Text from a mission briefing.,"This is a freeflight scenario with no objectives.

A",
quickMPFlights_mp_navalMission_b0,Text from a mission briefing.,"The carrier strike group has arrived at the enemy's doorstep in the northern sea.

Launch with your wingmen and take on the various objectives.",
quickMPFlights_mp_navalMission_b1,Text from a mission briefing.,"The skies are covered by enemy patrols and air defense units.  

Split the responsibilities of CAP, SEAD and Attack among your team members and work together to complete the mission.",
campaign_mp_PVPScenarios_name,Name of a campaign.,PVP Scenarios,
campaign_mp_PVPScenarios_description,Description of a campaign.,Various competitive multiplayer game modes.,
mp_PVPScenarios:26b_bvrTest_name,Name of a mission.,A2A BVR Combat,
mp_PVPScenarios:26b_bvrTest_description,Description of a mission.,Each team gets 4x F/A-26Bs and 2x F-45As. First team to 24 points wins!,
F/A-26B:mp_PVPScenarios:26b_bvrTest:obj_0:name,A mission objective name,24 Kills,
F/A-26B:mp_PVPScenarios:26b_bvrTest:obj_0:info,Mission objective info.,First team to 24 points wins!,
mp_PVPScenarios:26b_dogfightGunsMissiles_name,Name of a mission.,Dogfight Guns'n'Heaters,
mp_PVPScenarios:26b_dogfightGunsMissiles_description,Description of a mission.,Quick dogfight match for F/A-26B with guns and heat seeking missiles (AIM-9). First team to 24 points wins!,
F/A-26B:mp_PVPScenarios:26b_dogfightGunsMissiles:obj_0:name,A mission objective name,24 Kills,
F/A-26B:mp_PVPScenarios:26b_dogfightGunsMissiles:obj_0:info,Mission objective info.,First team to 24 points wins!,
mp_PVPScenarios:42c_deathmatch_name,Name of a mission.,AV-42C Deathmatch,
mp_PVPScenarios:42c_deathmatch_description,Description of a mission.,6 vs 6 Kestrels!  This was originally to look for bugs relating to the AV-42C.,
F/A-26B:mp_PVPScenarios:42c_deathmatch:obj_0:name,A mission objective name,24 Kills,
F/A-26B:mp_PVPScenarios:42c_deathmatch:obj_0:info,Mission objective info.,First team to 24 points wins!,
mp_PVPScenarios:Capture the Flag_name,Name of a mission.,Capture the Flag,
mp_PVPScenarios:Capture the Flag_description,Description of a mission.,Rescue your soldiers from the enemy base and bring them back to your own. Each team will need to bring home 3 soldiers.,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_0:name,A mission objective name,Pickup 1,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_0:info,Mission objective info.,Pick up the soldier.,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_1:name,A mission objective name,Bring it home!,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_1:info,Mission objective info.,Bring the soldier to Homeplate.,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_2:name,A mission objective name,Pickup 2,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_2:info,Mission objective info.,Pick up the second soldier.,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_3:name,A mission objective name,Bring it home! 2,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_3:info,Mission objective info.,Bring the soldier to Homeplate.,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_4:name,A mission objective name,Pickup 3,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_4:info,Mission objective info.,Pick up the final soldier.,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_5:name,A mission objective name,Bring it home! 3,
AV-42C:mp_PVPScenarios:Capture the Flag:obj_5:info,Mission objective info.,Bring the final soldier to homeplate!,
mp_PVPScenarios:mp_26bDogfightGuns_name,Name of a mission.,F/A-26B Dogfight (Guns Only),
mp_PVPScenarios:mp_26bDogfightGuns_description,Description of a mission.,Quick dogfight match for F/A-26B. First team to 24 points wins!,
F/A-26B:mp_PVPScenarios:mp_26bDogfightGuns:obj_0:name,A mission objective name,Dogfight,
F/A-26B:mp_PVPScenarios:mp_26bDogfightGuns:obj_0:info,Mission objective info.,First team to 24 points wins!,
mp_PVPScenarios:mp_baseAttack_name,Name of a mission.,PVP Strike Mission,
mp_PVPScenarios:mp_baseAttack_description,Description of a mission.,Destroy the ground targets at the enemy base before they destroy yours. Defend your own assets from the enemy attack.,
F/A-26B:mp_PVPScenarios:mp_baseAttack:obj_0:name,A mission objective name,Airbase Targets,
F/A-26B:mp_PVPScenarios:mp_baseAttack:obj_0:info,Mission objective info.,Destroy bunkers and supply tents at the enemy airbase.,
F/A-26B:mp_PVPScenarios:mp_baseAttack:obj_1:name,A mission objective name,Outpost A Targets,
F/A-26B:mp_PVPScenarios:mp_baseAttack:obj_1:info,Mission objective info.,Destroy tents and bunkers at Outpost A.,
F/A-26B:mp_PVPScenarios:mp_baseAttack:obj_2:name,A mission objective name,Outpost B Targets,
F/A-26B:mp_PVPScenarios:mp_baseAttack:obj_2:info,Mission objective info.,Destroy tents and bunkers at Outpost B.,
mp_PVPScenarios:mp_pvpStrikeLowTech_name,Name of a mission.,[LOW TECH] PVP Strike Mission,
mp_PVPScenarios:mp_pvpStrikeLowTech_description,Description of a mission.,Destroy the ground targets at the enemy base before they destroy yours. Defend your own assets from the enemy attack. Low-tech weapons only.,
F/A-26B:mp_PVPScenarios:mp_pvpStrikeLowTech:obj_0:name,A mission objective name,Airbase Targets,
F/A-26B:mp_PVPScenarios:mp_pvpStrikeLowTech:obj_0:info,Mission objective info.,Destroy bunkers and supply tents at the enemy airbase.,
F/A-26B:mp_PVPScenarios:mp_pvpStrikeLowTech:obj_1:name,A mission objective name,Outpost A Targets,
F/A-26B:mp_PVPScenarios:mp_pvpStrikeLowTech:obj_1:info,Mission objective info.,Destroy tents and bunkers at Outpost A.,
F/A-26B:mp_PVPScenarios:mp_pvpStrikeLowTech:obj_2:name,A mission objective name,Outpost B Targets,
F/A-26B:mp_PVPScenarios:mp_pvpStrikeLowTech:obj_2:info,Mission objective info.,Destroy tents and bunkers at Outpost B.,
mp_PVPScenarios_26b_bvrTest_b0,Text from a mission briefing.,Each team gets 4x F/A-26Bs and 2x F-45As. Try out some pure air combat!,
mp_PVPScenarios_26b_bvrTest_b1,Text from a mission briefing.,"The bases are about 75 nautical miles apart, so you will be able to spread out and make use of BVR (beyond visual range) tactics.",
mp_PVPScenarios_26b_bvrTest_b2,Text from a mission briefing.,The first team to score 24 kills wins.,
mp_PVPScenarios_26b_dogfightGunsMissiles_b0,Text from a mission briefing.,You're in the merge!  Get ready for a fight!,
mp_PVPScenarios_26b_dogfightGunsMissiles_b1,Text from a mission briefing.,"Use your guns, missiles, and flares to achieve victory!",
mp_PVPScenarios_42c_deathmatch_b0,Text from a mission briefing.,This is just a test scenario for the AV-42C.,
mp_PVPScenarios_42c_deathmatch_b1,Text from a mission briefing.,Shoot each other... for science!,
mp_PVPScenarios_Capture the Flag_b0,Text from a mission briefing.,"The object of the game is to pick up and bring home 3 soldiers.

You will need at least one AV-42C on your team to complete the objectives.",
mp_PVPScenarios_Capture the Flag_b1,Text from a mission briefing.,"Only one soldier will appear at a time.  Once you successfully bring home the soldier, a new one will appear in a different location.

Each new soldier will be closer to the enemy base.",
mp_PVPScenarios_Capture the Flag_b2,Text from a mission briefing.,"The soldiers can't be killed.  If an AV-42C is shot down while carrying a soldier, the soldier will return to its spawn point.",
mp_PVPScenarios_Capture the Flag_b3,Text from a mission briefing.,Good luck!,
mp_PVPScenarios_mp_26bDogfightGuns_b0,Text from a mission briefing.,"This is a classic guns-only dogfight scenario. 

You will spawn head to head with your opponents.  

Prepare for combat!",
mp_PVPScenarios_mp_26bDogfightGuns_b1,Text from a mission briefing.,Try to avoid shooting before the merge!,
mp_PVPScenarios_mp_26bDogfightGuns_b2,Text from a mission briefing.,The first team to suffer 24 deaths loses.,
mp_PVPScenarios_mp_baseAttack_b0,Text from a mission briefing.,"In this scenario, each team has assets that they will need to defend, as well as enemy targets they need to destroy.

Work together with your team to attack and defend.",
mp_PVPScenarios_mp_baseAttack_b1,Text from a mission briefing.,"Team A is based in the north-western region, while Team B is in the south-eastern region.

Each team has 3 outposts which are the primary targets to attack/defend.",
mp_PVPScenarios_mp_pvpStrikeLowTech_b0,Text from a mission briefing.,"In this scenario, each team has assets that they will need to defend, as well as enemy targets they need to destroy.

Work together with your team to attack and defend.",
mp_PVPScenarios_mp_pvpStrikeLowTech_b1,Text from a mission briefing.,"Team A is based in the north-western region, while Team B is in the south-eastern region.

Each team has 3 outposts which are the primary targets to attack/defend.",
campaign_ah94-mpMissions_name,Name of a campaign.,AH-94 Multicrew,
campaign_ah94-mpMissions_description,Description of a campaign.,Larger scale missions designed for multicrew and multiple helicopters.,
ah94-mpMissions:ah94_mp1_name,Name of a mission.,Urban Liberation,
ah94-mpMissions:ah94_mp1_description,Description of a mission.,Spearhead the effort to liberate a city under enemy occupation.,
AV-42C:ah94-mpMissions:ah94_mp1:obj_0:name,A mission objective name,SEAD MAD-4,
AV-42C:ah94-mpMissions:ah94_mp1:obj_0:info,Mission objective info.,Destroy or disable all MAD-4 units.,
AV-42C:ah94-mpMissions:ah94_mp1:obj_1:name,A mission objective name,SEAD Ships,
AV-42C:ah94-mpMissions:ah94_mp1:obj_1:info,Mission objective info.,Disable the long range air defenses on the ships.,
AV-42C:ah94-mpMissions:ah94_mp1:obj_2:name,A mission objective name,Destroy HQ,
AV-42C:ah94-mpMissions:ah94_mp1:obj_2:info,Mission objective info.,Find the makeshift HQ and destroy all of its major assets.,
AV-42C:ah94-mpMissions:ah94_mp1:obj_3:name,A mission objective name,Kill Air Patrol,
AV-42C:ah94-mpMissions:ah94_mp1:obj_3:info,Mission objective info.,"Destroy patrolling GAV-25 group, or let our fighters handle it.",
AV-42C:ah94-mpMissions:ah94_mp1:obj_4:name,A mission objective name,Escort Bravo,
AV-42C:ah94-mpMissions:ah94_mp1:obj_4:info,Mission objective info.,Escort special forces unit Bravo to extract the civillians.,
AV-42C:ah94-mpMissions:ah94_mp1:obj_6:name,A mission objective name,Armored Units,
AV-42C:ah94-mpMissions:ah94_mp1:obj_6:info,Mission objective info.,Destroy the armored units moving up the road towards our base.,
AV-42C:ah94-mpMissions:ah94_mp1:obj_7:name,A mission objective name,RTB,
AV-42C:ah94-mpMissions:ah94_mp1:obj_7:info,Mission objective info.,Return to base.,
ah94-mpMissions:ah94_mp2_coast_name,Name of a mission.,Midnight Assassin,
ah94-mpMissions:ah94_mp2_coast_description,Description of a mission.,Assassinate the elusive dictators.,
AV-42C:ah94-mpMissions:ah94_mp2_coast:obj_0:name,A mission objective name,Assassinate,
AV-42C:ah94-mpMissions:ah94_mp2_coast:obj_0:info,Mission objective info.,Destroy the 3 APCs carrying the enemy dictators.,
AV-42C:ah94-mpMissions:ah94_mp2_coast:obj_1:name,A mission objective name,Artillery Trucks,
AV-42C:ah94-mpMissions:ah94_mp2_coast:obj_1:info,Mission objective info.,Find and destroy rocket artillery trucks.,
AV-42C:ah94-mpMissions:ah94_mp2_coast:obj_2:name,A mission objective name,Artillery Boats,
AV-42C:ah94-mpMissions:ah94_mp2_coast:obj_2:info,Mission objective info.,,
ah94-mpMissions_ah94_mp1_b0,Text from a mission briefing.,"The city has been overrun by the enemy. They've taken complete control and have set up a makeshift HQ at the city center.

Most of the civillians have been evacuated, however a small group is trapped in one of the industrial buildings.",
ah94-mpMissions_ah94_mp1_b1,Text from a mission briefing.,"Our main goal today is to get those civillians to safety, but there are a few steps we need to take in order to do that.",
ah94-mpMissions_ah94_mp1_b2,Text from a mission briefing.,"A pair enemy ground attack aircraft are patrolling the area.  They need to be destroyed before we can begin the rescue operation.

We would send in fighters to take care of them but the enemy have strong air defenses.",
ah94-mpMissions_ah94_mp1_b3,Text from a mission briefing.,"This is where you will begin.

Destroy the MAD-4 units around the city, as well as the long range anti-air missile systems on the ships parked off the coast.

This will allow us to send the fighters to gain air superiority.",
ah94-mpMissions_ah94_mp1_b4,Text from a mission briefing.,"Once the air defenses and air patrol are destroyed, special forces unit Bravo will enter the city by road vehicles.

You will need to provide close air support and clear their way through the city streets.",
ah94-mpMissions_ah94_mp1_b5,Text from a mission briefing.,"Finally, while we have you on station and are maintaining air superiority, we need you to find the HQ that the enemy has set up downtown.  They are storing valuable supplies and equipment there, so destroy everything you find.",
ah94-mpMissions_ah94_mp1_b6,Text from a mission briefing.,"SUMMARY
Objectives
1. SEAD (MAD-4 and ship SAMs)
 2. Destroy enemy aircraft (with help)
 3. Escort Bravo on rescue mission
 4. Find and destroy assets at enemy HQ
Threats
 - SAMs, infantry, attack aircraft",
ah94-mpMissions_ah94_mp2_coast_b0,Text from a mission briefing.,"Tonight, we're taking on a daring but crucial mission.

It's time to stop enemy's reign of terror.

We'll be launching from the carrier at midnight.",
ah94-mpMissions_ah94_mp2_coast_b1,Text from a mission briefing.,"The enemy leaders have been highly elusive, but thanks to our network of informants, we have intel that all of the top officials will be in Pike City to oversee an inspection of 5 new warships.",
ah94-mpMissions_ah94_mp2_coast_b2,Text from a mission briefing.,"The city, and the harbor especially, are heavily defended, but we can't pass up this opportunity.

Move towards the harbor, delaying detection as long as possible.  The moment they know we're here, the leaders will attempt to flee the city.",
ah94-mpMissions_ah94_mp2_coast_b3,Text from a mission briefing.,"The primary objective is to assassinate the leaders, who will be riding in 3 armored personnel carriers (APCs).",
ah94-mpMissions_ah94_mp2_coast_b4,Text from a mission briefing.,"We are also aware that mobile artillery units, both land and sea, are ready to deploy when provoked, so we must find them and destroy them before they can fire on our ships.",
ah94-mpMissions_ah94_mp2_coast_b5,Text from a mission briefing.,"Find and assassinate the leaders, destroy the artillery boats and trucks, then return to the carrier.",
campaign_ah94-quickFlight_mp_name,Name of a campaign.,AH-94 Quick Flight,
campaign_ah94-quickFlight_mp_description,Description of a campaign.,Quick flights and missions for the AH-94 Attack Helicopter.,
ah94-quickFlight_mp:ah94_4v4pvp_name,Name of a mission.,AH-94 Deathmatch 4v4,
ah94-quickFlight_mp:ah94_4v4pvp_description,Description of a mission.,Four AH-94s (8 pilots total) per team.,
AH-94:ah94-quickFlight_mp:ah94_4v4pvp:obj_0:name,A mission objective name,24 Deaths Loses,
AH-94:ah94-quickFlight_mp:ah94_4v4pvp:obj_0:info,Mission objective info.,First team to 24 deaths loses.,
ah94-quickFlight_mp:ah94_mpFreeFlight_name,Name of a mission.,AH-94 Free Flight,
ah94-quickFlight_mp:ah94_mpFreeFlight_description,Description of a mission.,"16 pilots, 8 choppers, 0 objectives.",
ah94-quickFlight_mp:arcticAssault_name,Name of a mission.,Arctic Assault,
ah94-quickFlight_mp:arcticAssault_description,Description of a mission.,Scout targets for artillery and destroy anything that remains.,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_0:name,A mission objective name,Artillery Targets,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_0:info,Mission objective info.,Destroy any remaining targets at the waypoint.,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_1:name,A mission objective name,Armored Targets,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_1:info,Mission objective info.,Destroy the armored group moving towards our troops.,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_2:name,A mission objective name,Find Targets,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_2:info,Mission objective info.,Pinpoint the location of targets at the waypoint.,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_3:name,A mission objective name,Destroy Targets,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_3:info,Mission objective info.,Destroy the targets you found. Artillery will assist.,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_4:name,A mission objective name,Destroy MAD-4,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_4:info,Mission objective info.,Destroy enemy air defenses to allow bombers to pass.,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_5:name,A mission objective name,RTB,
AH-94:ah94-quickFlight_mp:arcticAssault:obj_5:info,Mission objective info.,Return to the FARP.,
ah94-quickFlight_mp:flightPractice_name,Name of a mission.,Flight Practice,
ah94-quickFlight_mp:flightPractice_description,Description of a mission.,"Practice take off, flight, and landing in various locations.",
AH-94:ah94-quickFlight_mp:flightPractice:obj_0:name,A mission objective name,Take Off,
AH-94:ah94-quickFlight_mp:flightPractice:obj_0:info,Mission objective info.,Take off to 50ft.,
AH-94:ah94-quickFlight_mp:flightPractice:obj_1:name,A mission objective name,Land Pad 1,
AH-94:ah94-quickFlight_mp:flightPractice:obj_1:info,Mission objective info.,Land on the same pad you took off from.,
AH-94:ah94-quickFlight_mp:flightPractice:obj_2:name,A mission objective name,Short Hop,
AH-94:ah94-quickFlight_mp:flightPractice:obj_2:info,Mission objective info.,Land on Pad 2,
AH-94:ah94-quickFlight_mp:flightPractice:obj_3:name,A mission objective name,Medium Hop,
AH-94:ah94-quickFlight_mp:flightPractice:obj_3:info,Mission objective info.,Slight turn to Pad 3,
AH-94:ah94-quickFlight_mp:flightPractice:obj_4:name,A mission objective name,Long Hop,
AH-94:ah94-quickFlight_mp:flightPractice:obj_4:info,Mission objective info.,Long hop to pad 4.  Small pad!,
AH-94:ah94-quickFlight_mp:flightPractice:obj_5:name,A mission objective name,Tight Spot,
AH-94:ah94-quickFlight_mp:flightPractice:obj_5:info,Mission objective info.,Land on the pad between the buildings.,
AH-94:ah94-quickFlight_mp:flightPractice:obj_6:name,A mission objective name,Rooftop 1,
AH-94:ah94-quickFlight_mp:flightPractice:obj_6:info,Mission objective info.,Land on the rooftop.,
AH-94:ah94-quickFlight_mp:flightPractice:obj_7:name,A mission objective name,Rooftop 2,
AH-94:ah94-quickFlight_mp:flightPractice:obj_7:info,Mission objective info.,Land on the rooftop 2.,
AH-94:ah94-quickFlight_mp:flightPractice:obj_8:name,A mission objective name,Dock Pad,
AH-94:ah94-quickFlight_mp:flightPractice:obj_8:info,Mission objective info.,,
AH-94:ah94-quickFlight_mp:flightPractice:obj_9:name,A mission objective name,Cross Country,
